ts,device_id,seq,ip,uptime_s,rssi,beacons_json
2025-10-02T18:59:45,esp32-34cdb033a6c4,1,10.175.95.78,3,,"[{""name"": ""beacon_3"", ""rssi"": -59}, {""name"": ""beacon_1"", ""rssi"": -81}, {""name"": ""beacon_7"", ""rssi"": -82}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_5"", ""rssi"": -66}, {""name"": ""beacon_8"", ""rssi"": -65}]"
2025-10-02T18:59:45,esp32-34cdb033a6c4,2,10.175.95.78,3,,"[{""name"": ""beacon_8"", ""rssi"": -61}, {""name"": ""beacon_4"", ""rssi"": -53}, {""name"": ""beacon_1"", ""rssi"": -81}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_5"", ""rssi"": -62}, {""name"": ""beacon_7"", ""rssi"": -82}]"
2025-10-02T18:59:45,esp32-34cdb033a6c4,3,10.175.95.78,3,,"[{""name"": ""beacon_6"", ""rssi"": -60}, {""name"": ""beacon_2"", ""rssi"": -82}, {""name"": ""beacon_4"", ""rssi"": -62}, {""name"": ""beacon_3"", ""rssi"": -47}, {""name"": ""beacon_8"", ""rssi"": -53}, {""name"": ""beacon_7"", ""rssi"": -84}, {""name"": ""beacon_5"", ""rssi"": -65}]"
2025-10-02T18:59:45,esp32-34cdb033a6c4,4,10.175.95.78,3,,"[{""name"": ""beacon_4"", ""rssi"": -47}, {""name"": ""beacon_6"", ""rssi"": -62}, {""name"": ""beacon_2"", ""rssi"": -69}, {""name"": ""beacon_7"", ""rssi"": -86}, {""name"": ""beacon_3"", ""rssi"": -49}, {""name"": ""beacon_8"", ""rssi"": -52}, {""name"": ""beacon_1"", ""rssi"": -74}, {""name"": ""beacon_5"", ""rssi"": -64}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,5,10.175.95.78,4,,"[{""name"": ""beacon_2"", ""rssi"": -74}, {""name"": ""beacon_6"", ""rssi"": -80}, {""name"": ""beacon_7"", ""rssi"": -78}, {""name"": ""beacon_4"", ""rssi"": -61}, {""name"": ""beacon_3"", ""rssi"": -50}, {""name"": ""beacon_8"", ""rssi"": -52}, {""name"": ""beacon_1"", ""rssi"": -72}, {""name"": ""beacon_5"", ""rssi"": -63}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,6,10.175.95.78,4,,"[{""name"": ""beacon_6"", ""rssi"": -64}, {""name"": ""beacon_2"", ""rssi"": -78}, {""name"": ""beacon_7"", ""rssi"": -86}, {""name"": ""beacon_4"", ""rssi"": -51}, {""name"": ""beacon_3"", ""rssi"": -50}, {""name"": ""beacon_8"", ""rssi"": -54}, {""name"": ""beacon_1"", ""rssi"": -77}, {""name"": ""beacon_5"", ""rssi"": -63}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,7,10.175.95.78,4,,"[{""name"": ""beacon_1"", ""rssi"": -73}, {""name"": ""beacon_6"", ""rssi"": -62}, {""name"": ""beacon_7"", ""rssi"": -80}, {""name"": ""beacon_4"", ""rssi"": -71}, {""name"": ""beacon_3"", ""rssi"": -44}, {""name"": ""beacon_8"", ""rssi"": -50}, {""name"": ""beacon_5"", ""rssi"": -70}, {""name"": ""beacon_2"", ""rssi"": -76}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,8,10.175.95.78,4,,"[{""name"": ""beacon_1"", ""rssi"": -75}, {""name"": ""beacon_6"", ""rssi"": -63}, {""name"": ""beacon_7"", ""rssi"": -84}, {""name"": ""beacon_3"", ""rssi"": -47}, {""name"": ""beacon_8"", ""rssi"": -83}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,9,10.175.95.78,4,,"[{""name"": ""beacon_4"", ""rssi"": -56}, {""name"": ""beacon_6"", ""rssi"": -61}, {""name"": ""beacon_2"", ""rssi"": -76}, {""name"": ""beacon_7"", ""rssi"": -86}, {""name"": ""beacon_3"", ""rssi"": -49}, {""name"": ""beacon_8"", ""rssi"": -54}, {""name"": ""beacon_1"", ""rssi"": -88}, {""name"": ""beacon_5"", ""rssi"": -71}]"
2025-10-02T18:59:46,esp32-34cdb033a6c4,10,10.175.95.78,5,,"[{""name"": ""beacon_4"", ""rssi"": -58}, {""name"": ""beacon_6"", ""rssi"": -70}, {""name"": ""beacon_7"", ""rssi"": -79}, {""name"": ""beacon_2"", ""rssi"": -69}, {""name"": ""beacon_3"", ""rssi"": -51}, {""name"": ""beacon_8"", ""rssi"": -62}, {""name"": ""beacon_1"", ""rssi"": -78}, {""name"": ""beacon_5"", ""rssi"": -70}]"
2025-10-02T18:59:47,esp32-34cdb033a6c4,11,10.175.95.78,5,,"[{""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_7"", ""rssi"": -84}, {""name"": ""beacon_4"", ""rssi"": -57}, {""name"": ""beacon_3"", ""rssi"": -46}, {""name"": ""beacon_8"", ""rssi"": -54}, {""name"": ""beacon_1"", ""rssi"": -78}, {""name"": ""beacon_6"", ""rssi"": -64}]"
2025-10-02T18:59:47,esp32-34cdb033a6c4,12,10.175.95.78,5,,"[{""name"": ""beacon_6"", ""rssi"": -62}, {""name"": ""beacon_2"", ""rssi"": -76}, {""name"": ""beacon_4"", ""rssi"": -52}, {""name"": ""beacon_3"", ""rssi"": -40}, {""name"": ""beacon_8"", ""rssi"": -79}, {""name"": ""beacon_5"", ""rssi"": -63}, {""name"": ""beacon_1"", ""rssi"": -81}]"
2025-10-02T18:59:47,esp32-34cdb033a6c4,13,10.175.95.78,5,,"[{""name"": ""beacon_6"", ""rssi"": -63}, {""name"": ""beacon_7"", ""rssi"": -82}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_4"", ""rssi"": -52}, {""name"": ""beacon_3"", ""rssi"": -42}, {""name"": ""beacon_8"", ""rssi"": -59}, {""name"": ""beacon_1"", ""rssi"": -82}, {""name"": ""beacon_5"", ""rssi"": -59}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,14,10.175.95.78,5,,"[{""name"": ""beacon_1"", ""rssi"": -87}, {""name"": ""beacon_6"", ""rssi"": -62}, {""name"": ""beacon_2"", ""rssi"": -74}, {""name"": ""beacon_4"", ""rssi"": -50}, {""name"": ""beacon_7"", ""rssi"": -82}, {""name"": ""beacon_8"", ""rssi"": -63}, {""name"": ""beacon_5"", ""rssi"": -59}, {""name"": ""beacon_3"", ""rssi"": -54}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,15,10.175.95.78,5,,"[{""name"": ""beacon_7"", ""rssi"": -81}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_6"", ""rssi"": -70}, {""name"": ""beacon_4"", ""rssi"": -59}, {""name"": ""beacon_3"", ""rssi"": -71}, {""name"": ""beacon_8"", ""rssi"": -61}, {""name"": ""beacon_1"", ""rssi"": -81}, {""name"": ""beacon_5"", ""rssi"": -65}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,16,10.175.95.78,6,,"[{""name"": ""beacon_3"", ""rssi"": -70}, {""name"": ""beacon_8"", ""rssi"": -60}, {""name"": ""beacon_4"", ""rssi"": -52}, {""name"": ""beacon_1"", ""rssi"": -70}, {""name"": ""beacon_5"", ""rssi"": -62}, {""name"": ""beacon_7"", ""rssi"": -82}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,17,10.175.95.78,6,,"[{""name"": ""beacon_7"", ""rssi"": -82}, {""name"": ""beacon_2"", ""rssi"": -64}, {""name"": ""beacon_6"", ""rssi"": -66}, {""name"": ""beacon_4"", ""rssi"": -56}, {""name"": ""beacon_3"", ""rssi"": -50}, {""name"": ""beacon_8"", ""rssi"": -65}, {""name"": ""beacon_5"", ""rssi"": -64}, {""name"": ""beacon_1"", ""rssi"": -67}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,18,10.175.95.78,6,,"[{""name"": ""beacon_7"", ""rssi"": -85}, {""name"": ""beacon_6"", ""rssi"": -62}, {""name"": ""beacon_2"", ""rssi"": -68}, {""name"": ""beacon_3"", ""rssi"": -44}, {""name"": ""beacon_8"", ""rssi"": -63}, {""name"": ""beacon_5"", ""rssi"": -62}, {""name"": ""beacon_4"", ""rssi"": -51}]"
2025-10-02T18:59:48,esp32-34cdb033a6c4,19,10.175.95.78,6,,"[{""name"": ""beacon_6"", ""rssi"": -63}, {""name"": ""beacon_2"", ""rssi"": -69}, {""name"": ""beacon_7"", ""rssi"": -82}, {""name"": ""beacon_4"", ""rssi"": -73}, {""name"": ""beacon_3"", ""rssi"": -54}, {""name"": ""beacon_8"", ""rssi"": -68}, {""name"": ""beacon_1"", ""rssi"": -77}, {""name"": ""beacon_5"", ""rssi"": -62}]"
